age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,admin.,single,basic.9y,no,2089,yes,yes,cellular,6,jul,460,3,383,8,unknown,-0.10233803026958288,90.50992716494989,-29.236589373409466,2.414258301282775,5249.638572261323,no
39,technician,married,high.school,no,3482,yes,yes,unknown,16,sep,238,8,383,6,unknown,1.0664071364404926,90.4422247778292,-17.827921448778703,2.8708230546108595,5434.1638377632935,yes
31,unemployed,divorced,professional.course,no,1419,no,yes,unknown,3,sep,964,8,-1,1,other,2.241793047589506,95.23794379966819,-29.559524796526503,3.90663334084275,5981.086935543381,no
49,self-employed,married,university.degree,yes,2952,yes,yes,cellular,11,nov,474,6,-1,7,success,0.7217567843244583,99.62703130531506,-4.450212657802304,3.2681912565256965,5607.160357087329,no
24,admin.,divorced,primary,no,2747,yes,yes,cellular,1,oct,579,7,-1,4,other,1.818573361563268,93.06954024064197,-40.632594540443236,2.429747804568416,5041.925211032401,yes
52,admin.,single,basic.9y,yes,993,yes,yes,telephone,1,apr,917,1,383,3,other,-0.7934317501317216,97.20504926599584,-36.83486298918491,4.5180718267482325,5584.622326120176,no
44,unemployed,divorced,tertiary,yes,-901,yes,no,telephone,27,aug,794,5,383,5,other,-1.6060940486670705,97.24065057143304,-4.76885257949958,1.1435781522977808,4863.052671380976,yes
59,management,divorced,university.degree,no,614,yes,yes,cellular,17,apr,857,9,383,6,unknown,2.8644404441110405,95.68689245420227,-35.91685734760134,3.46740960106682,4687.377550481808,no
45,entrepreneur,married,primary,no,605,no,yes,cellular,7,jun,876,7,383,8,other,2.376103574011915,96.99061710086498,-0.6367194733724801,0.7234637592343205,4899.094932821407,yes
44,self-employed,married,university.degree,yes,-380,no,no,cellular,3,sep,465,3,-1,0,other,1.441943679303634,92.2575361476921,-38.70074403053689,4.958045727464006,4659.504800107618,yes
21,management,divorced,primary,yes,3767,yes,yes,cellular,12,nov,591,1,383,0,unknown,1.3709407392723474,97.59808053860351,-48.27950634918985,4.198227329191073,5857.559129427127,no
55,self-employed,married,basic.9y,no,3701,yes,yes,cellular,30,mar,105,8,383,5,failure,2.625965450565972,97.57807104113043,-3.1024982793348457,4.455096833445788,4508.123658912367,no
20,services,divorced,tertiary,no,1933,yes,yes,telephone,30,aug,30,1,383,0,other,-0.47272697418411225,96.68738876962452,-35.958347666576245,0.6869594690884671,5205.6281473779145,no
56,self-employed,married,secondary,no,3103,no,yes,cellular,3,may,705,2,383,1,unknown,2.8147674148429846,91.02204032353846,-10.62301343053457,3.6010307609204624,5197.201602337564,yes
29,technician,married,basic.9y,yes,3957,yes,yes,cellular,13,aug,149,4,-1,7,unknown,-1.883234200465247,91.26602849706808,-4.553796454833346,1.7513199269808464,5753.603597457899,no
45,technician,single,secondary,yes,2495,no,no,telephone,21,nov,72,8,-1,4,unknown,2.68644782692226,92.22792407082487,-37.99569768983477,3.451363848465304,5147.120969000981,yes
22,entrepreneur,single,basic.9y,no,-192,no,no,unknown,11,jan,118,5,383,3,unknown,2.041741108112869,90.86182338642384,-3.3454662448718153,3.075976215680568,5276.606171579552,no
54,admin.,divorced,tertiary,no,-33,yes,yes,unknown,20,jul,218,5,-1,6,unknown,-1.8054913942272433,93.95248164918816,-45.61100696417573,1.7036013914134558,4652.727005569739,yes
51,admin.,married,secondary,yes,4664,yes,yes,unknown,8,apr,569,4,-1,8,unknown,2.4857358112095316,99.33261999397432,-35.18431246546317,2.194468627395289,4865.277586542487,yes
57,blue-collar,single,primary,no,3828,no,no,telephone,26,feb,760,7,-1,9,failure,2.9172158058803612,92.86787312588268,-13.72169897554707,4.763527659452839,5529.712988835258,yes
27,management,single,primary,no,1942,no,no,telephone,19,dec,45,4,-1,4,failure,0.6092485642777756,93.96861565200527,-40.82469741674774,2.1308797464437355,4891.494131133794,no
33,entrepreneur,married,secondary,no,3711,no,no,cellular,8,sep,177,7,-1,8,success,0.06225880041287635,97.67107412954459,-40.09938206776516,1.3440268005944078,4823.233821247545,no
38,blue-collar,divorced,basic.9y,no,4162,no,yes,cellular,27,aug,901,8,-1,1,success,1.1806914216469826,95.59817943556716,-3.4358745643242017,2.990420124447501,5146.553004049362,no
45,unemployed,married,high.school,no,3259,no,no,unknown,13,feb,318,6,-1,2,unknown,1.75553271848477,94.42293999630493,-43.832780894471625,2.2714894282140783,5629.953852132114,no
20,self-employed,divorced,secondary,yes,1675,yes,yes,unknown,9,feb,601,2,383,8,failure,2.0760046236464245,93.53433190192177,-22.324749764466162,1.25801823565728,5487.195732669982,no
57,technician,divorced,high.school,yes,-969,no,yes,cellular,28,jul,984,8,-1,9,failure,1.592040508468565,96.5298664837168,-9.209614611765723,1.8392255812861378,5227.7659118575375,yes
24,unemployed,single,university.degree,yes,3236,yes,yes,cellular,18,sep,621,9,-1,2,other,-1.8018871903861111,92.80264792685692,-2.1220183256889484,3.709419402532239,5231.971355188805,no
28,technician,single,basic.9y,no,2437,yes,yes,unknown,18,jan,987,8,-1,6,unknown,-1.405076922137159,98.63155082842252,-1.8247838570712958,1.9667027342191559,5785.387653762444,yes
27,technician,single,secondary,no,-398,no,yes,unknown,26,jul,882,6,383,9,other,1.8994743824338212,99.15547784042144,-49.03163883114571,3.8632437545980367,5583.665605874676,yes
23,blue-collar,single,university.degree,no,-789,yes,yes,telephone,15,dec,886,7,-1,8,other,1.0116832103088447,96.13958842311831,-11.570284646597777,0.9494628733192334,4591.302329219475,no
57,admin.,single,university.degree,yes,2561,yes,no,unknown,10,jun,612,6,383,8,failure,2.400653384800627,92.73284915710168,-6.6650719505819325,4.07970592446185,4866.44928862813,yes
27,self-employed,single,secondary,no,-687,yes,yes,cellular,1,aug,245,6,-1,2,failure,-1.3889849828371117,91.5562939854172,-31.595838445300515,2.4698299363428355,5119.092010626304,yes
32,entrepreneur,single,university.degree,yes,3282,no,no,cellular,16,jul,38,1,-1,3,other,-2.439315387579413,93.22377588814633,-0.6288564437138078,0.9518266884090074,5374.954775109172,no
40,unemployed,divorced,primary,yes,4095,yes,yes,telephone,19,dec,649,9,-1,3,failure,0.6301482313544247,92.7436404314677,-1.1712214466642408,0.8209074067372559,5877.4724919848395,no
56,student,married,basic.9y,no,1151,no,yes,cellular,15,aug,933,8,383,6,failure,2.852858883869608,94.69797667533442,-24.753358301744026,3.813341631227062,5498.552740818907,yes
33,technician,single,tertiary,yes,2351,no,no,telephone,30,feb,320,5,-1,5,success,-0.406050325472461,91.11815835748162,-29.5508626396295,3.701693917519546,4589.970965712956,yes
57,student,married,high.school,yes,4072,no,yes,telephone,11,dec,494,5,383,0,success,-2.127790091266607,94.51066531176875,-9.891202774527436,4.870964963357939,5725.15203755069,yes
53,self-employed,single,professional.course,yes,3474,no,no,telephone,6,jul,78,3,383,4,unknown,0.2069954975099515,91.5434190707492,-40.772491583622156,1.5804069633305837,4940.131731264948,yes
50,self-employed,single,university.degree,no,196,yes,yes,unknown,26,dec,335,3,-1,1,unknown,-2.5428089911272567,99.1073259879604,-42.41159053476938,4.117277139364784,5724.886360850582,yes
43,unemployed,divorced,basic.9y,no,-661,yes,yes,unknown,6,aug,89,1,383,5,success,2.3099209442832134,92.44557427549442,-30.622243272579475,1.5778743939889308,5757.920278806865,no
25,student,divorced,high.school,no,3010,no,yes,cellular,26,apr,930,5,383,7,unknown,-2.04518648012389,97.71265741648573,-19.321995163013355,4.538592957117762,5328.048302753272,yes
23,technician,divorced,primary,yes,4979,yes,yes,cellular,6,aug,981,1,-1,4,failure,-0.19279005091350054,94.61953918227519,-27.000030227975675,3.251531037197801,5901.040786639336,yes
38,unemployed,single,university.degree,yes,1947,no,yes,cellular,21,dec,531,3,383,8,failure,-2.646023065787835,99.50327504919184,-31.777907603751338,3.457719870289519,5273.115462299061,no
21,technician,married,tertiary,yes,3313,yes,yes,cellular,23,mar,968,1,383,6,success,-2.6301303603067625,99.39960466295696,-34.9951202683813,3.421504681267024,5587.0769544546,no
44,admin.,married,university.degree,yes,4661,no,yes,cellular,30,dec,181,1,-1,8,failure,2.8901817780929964,99.86075083638363,-48.480788319744406,3.7238604438856964,4741.95445497667,no
46,entrepreneur,married,university.degree,yes,3643,no,no,telephone,30,apr,76,4,383,7,failure,0.3273369006323712,98.79685745863618,-16.72662910234827,3.1120868214220794,5882.5712734569715,no
48,management,married,secondary,yes,3233,yes,no,cellular,23,aug,795,9,-1,8,other,-2.2143622435712196,94.19732605224301,-4.589149363633396,3.739809593319019,5346.429229770376,yes
49,admin.,married,university.degree,no,-725,yes,no,unknown,17,sep,799,2,-1,1,other,-1.0830092857775768,90.90188882538327,-4.65697765594232,4.749799634760255,5845.5515549048705,yes
40,entrepreneur,married,basic.9y,no,1616,no,no,telephone,8,oct,405,4,-1,6,other,-0.6501458595605927,94.44963440031326,-31.322146039307302,1.58533869341907,5113.456718708166,yes
58,student,single,primary,yes,2607,no,yes,telephone,23,nov,783,7,-1,3,other,-2.765178729459766,94.94458337789365,-41.49214775782341,3.393156875459251,5369.360208298306,no
25,self-employed,divorced,professional.course,yes,2022,yes,yes,cellular,9,oct,352,7,-1,4,unknown,1.6502878125955256,91.36774833157878,-29.793712541185464,1.4265426704653845,5037.758977994911,yes
25,student,single,secondary,yes,-226,no,yes,telephone,5,aug,388,6,383,7,other,0.8034960215814175,94.11501294729781,-11.89405979891071,3.4900607147963836,5684.956148855428,yes
42,technician,single,primary,no,3186,yes,yes,unknown,28,sep,249,7,383,2,success,-1.5925654675926242,98.61172649495361,-20.363088488330618,4.349059985361572,5576.057911603974,no
34,entrepreneur,divorced,primary,no,3474,no,no,cellular,5,apr,263,7,-1,8,success,-0.4625631204012395,90.01440030320799,-14.359259456122423,4.642052723985291,5769.275095303163,no
21,services,married,tertiary,yes,4431,no,yes,unknown,14,sep,696,3,383,6,failure,0.057111254053008764,93.33556169902064,-19.522810225741082,2.825902640085358,5339.528326129545,no
54,entrepreneur,married,university.degree,yes,3643,no,yes,unknown,18,apr,586,4,383,6,other,-2.581029270543851,91.49666097264472,-27.661626444637715,4.778680611467938,5824.82693435463,no
23,self-employed,married,high.school,no,3181,no,no,cellular,21,sep,93,9,-1,6,success,2.458521286125129,93.45781305344545,-13.827659776329412,0.5281069805433161,5878.51058161471,yes
30,blue-collar,married,basic.9y,yes,1107,no,yes,cellular,27,apr,386,9,383,1,failure,-0.46123748382313323,96.24659311752875,-27.97626348558821,4.59547870189301,4760.909447129643,no
48,admin.,single,professional.course,no,2164,yes,no,unknown,14,jun,577,8,383,4,other,-1.724164955811413,94.7520139633752,-14.384140403348106,1.7475031318541447,5276.5036769440085,yes
30,management,single,university.degree,yes,922,no,yes,unknown,18,sep,156,1,-1,1,unknown,-2.5659307883897498,95.46048203871223,-49.97650812179561,3.348689040872693,4713.096976851172,no
29,blue-collar,married,secondary,no,2267,no,no,unknown,13,feb,512,5,-1,9,other,2.3596099617472994,92.84320695223515,-11.396248243425518,0.6883008741931309,4707.460981457538,yes
28,blue-collar,married,tertiary,yes,2631,yes,yes,cellular,20,dec,95,4,383,1,unknown,1.1746976765795702,99.8712419508171,-0.4435540009363734,1.3870659099670601,5035.94167941952,no
54,unemployed,married,basic.9y,yes,1416,no,yes,telephone,21,mar,617,8,-1,1,success,2.9302100914519595,95.96130415000528,-11.561049518819488,3.3882420157853312,4526.2439259024695,no
55,student,single,university.degree,no,3319,yes,no,unknown,20,may,495,7,-1,7,unknown,-0.8944112435238116,97.53470179533966,-37.61217128431794,4.907974082848038,4980.696020324215,no
45,admin.,divorced,high.school,yes,-606,yes,no,telephone,16,nov,230,4,383,8,other,2.0671138339824253,99.09003456555843,-20.908128708956554,4.7772583624974345,5540.302846852384,yes
54,admin.,married,university.degree,yes,344,yes,yes,cellular,29,oct,84,6,383,1,other,-0.70632192736256,93.09059862043266,-9.707806534357701,4.080256883048795,4576.03098612622,no
48,blue-collar,divorced,high.school,yes,2494,yes,no,telephone,25,sep,436,7,383,4,other,1.0019837920056212,93.30217528222359,-47.555337437121345,1.9788344425015725,4797.408654114478,yes
34,management,married,professional.course,no,1096,yes,yes,telephone,31,may,627,4,383,1,success,-1.0611870239762202,94.20982985283518,-18.783930527029252,4.239546952047455,5606.7698855482695,no
53,services,married,primary,no,4084,no,no,unknown,9,jan,906,9,-1,9,other,-0.7572651506444812,93.5330163147404,-7.236901740286335,3.185123964910552,5631.1023791208645,no
51,entrepreneur,divorced,basic.9y,no,2793,yes,yes,unknown,10,jul,457,3,-1,5,unknown,-1.0926408771916225,92.22742775283487,-10.80607012275187,1.5890658445496575,5916.490020222435,no
21,technician,single,professional.course,no,-410,yes,no,telephone,23,jan,585,5,383,4,failure,0.13463399147848687,90.7013311869967,-8.147582718911558,4.035256830258673,5277.522420668215,no
49,entrepreneur,single,secondary,yes,-795,yes,no,cellular,26,dec,762,1,383,6,failure,1.6918996381424156,90.31429469565835,-9.556699202263452,4.565618892333984,4626.963961776465,yes
22,blue-collar,single,professional.course,no,4039,no,yes,telephone,13,dec,719,7,383,0,unknown,2.5870199625551598,91.13746316369452,-13.01837657769152,1.9125344280929875,4658.48329334431,yes
22,entrepreneur,single,basic.9y,yes,3766,no,yes,telephone,26,jan,688,3,-1,8,unknown,0.9595485691495251,90.61667674231107,-41.50002772690047,2.7700881641666792,5824.981742358822,no
23,student,divorced,professional.course,no,-422,yes,yes,cellular,11,may,578,6,383,9,unknown,-2.6002082612891133,98.50089173229395,-9.76086951335099,3.57586419360125,5878.925240980799,yes
48,management,single,high.school,yes,4667,no,no,unknown,6,sep,510,9,-1,2,failure,2.602761244380604,91.89330395876239,-20.987472598404377,2.8559216659348765,4607.50993964904,no
25,blue-collar,married,high.school,no,4310,no,yes,telephone,30,aug,699,8,-1,6,success,0.24811776414292064,93.15070801919927,-47.08005554143905,3.756064000987314,5210.3830129015005,no
50,blue-collar,single,high.school,no,-975,yes,no,unknown,18,aug,621,7,-1,7,success,2.2904378506573337,96.19315674785189,-25.233617642484546,3.052210065035899,4927.81820994782,yes
34,self-employed,single,tertiary,yes,168,yes,yes,telephone,31,dec,737,9,383,3,unknown,-0.3791449466503307,97.98016704126098,-37.627767964377554,2.1270009832305963,5889.225684461714,yes
37,blue-collar,divorced,tertiary,no,2622,no,no,unknown,1,apr,833,2,-1,0,failure,-2.0064150169875736,93.5385222571906,-47.64806413081674,2.3400653628525947,4652.346558198417,yes
54,student,single,professional.course,no,4695,yes,yes,unknown,18,jul,314,2,-1,6,failure,0.8188481816425188,96.57783068219945,-29.47043867450125,4.059573643816408,5004.461046673844,yes
21,self-employed,married,professional.course,yes,47,yes,yes,unknown,28,mar,423,6,-1,8,success,-0.575811345252883,96.15203239959682,-47.711676187996595,1.1189770006179052,4741.229059038779,yes
41,entrepreneur,divorced,professional.course,no,844,yes,yes,cellular,10,oct,456,3,383,2,failure,-0.18493291959394753,98.04325165580909,-42.79482256773453,1.6227225080230614,5153.463567888286,yes
22,services,divorced,tertiary,no,1403,yes,yes,unknown,10,apr,234,4,-1,8,failure,1.5194491859387478,99.14980641552484,-39.17292672660433,2.4605831460676724,4640.283402508359,yes
51,self-employed,single,secondary,no,437,yes,no,cellular,31,sep,986,7,383,7,success,-0.7274922399568258,92.99958516531626,-20.459461736061673,3.34375380823254,5332.962700544721,yes
23,unemployed,married,tertiary,no,3220,yes,no,telephone,24,apr,518,1,-1,4,failure,-2.437314439979625,95.30964596149195,-18.861455694763013,0.7939150091068014,5245.183977539601,no
43,services,married,primary,yes,2842,no,yes,unknown,18,jun,943,4,-1,5,other,-0.038185393298928005,99.72716252839335,-13.985528721134408,3.5828283735441073,5364.448545212896,no
24,student,divorced,primary,no,1757,yes,yes,cellular,21,sep,706,3,383,2,failure,1.1148922720983148,98.25401845312764,-18.81793930076736,2.8447612133559943,4634.879385409281,no
35,self-employed,divorced,professional.course,yes,4661,no,yes,cellular,5,dec,399,4,383,4,failure,-2.889042373930337,91.71696873479115,-48.644050673911636,4.654601701504655,5424.769347855122,yes
20,unemployed,married,secondary,yes,-788,yes,yes,telephone,27,oct,498,7,-1,7,failure,-0.18796014001582417,92.50144984253576,-12.212359812186918,3.0035722219790735,5121.159978704079,no
36,entrepreneur,divorced,university.degree,yes,2728,no,yes,cellular,8,oct,387,9,383,7,success,-2.7311829534971963,97.01629000593991,-10.416955866295844,1.7132917516242046,5104.129540022148,no
44,admin.,single,professional.course,no,2004,no,no,unknown,5,nov,398,8,-1,5,other,1.6830194631270956,91.73482675234672,-10.81966177686379,2.534427634805944,5607.806802068565,no
27,admin.,single,basic.9y,no,889,no,yes,telephone,5,apr,78,1,-1,3,success,-0.8383652998852593,97.55998726015686,-27.040327334658105,1.3314192500915134,5984.4971242909105,no
58,technician,single,secondary,yes,2417,yes,no,unknown,22,feb,855,5,383,8,other,1.9473997844305728,90.8003281939203,-2.7439678547052253,4.886026698095366,5515.574562324404,yes
32,technician,married,basic.9y,no,154,yes,no,unknown,25,nov,981,3,383,2,other,2.0140629088810185,97.25422262578624,-24.64135676762748,1.7382924288700154,5134.22996542035,no
28,services,divorced,primary,yes,3588,no,yes,telephone,14,feb,925,7,-1,1,failure,0.17236162900132124,90.48496118729061,-22.466494988660063,3.96108142496751,5920.268131025723,no
31,unemployed,divorced,primary,no,3982,no,yes,cellular,4,sep,799,8,-1,9,failure,0.2492521886436685,95.06755969288025,-11.665243164615319,4.5643072824561,4529.414567555401,yes
32,admin.,single,professional.course,no,514,no,yes,cellular,26,feb,596,4,-1,9,unknown,-0.700672798349506,91.73523723539725,-38.84764283517743,4.248607749141371,4664.333482675753,no
47,unemployed,divorced,university.degree,no,1044,no,no,telephone,16,dec,385,5,-1,1,success,-2.8253349124541867,99.22357905775891,-49.590572873059344,4.249162105865837,5615.731414385522,no
25,entrepreneur,single,basic.9y,no,1365,no,no,cellular,15,jan,278,7,383,2,other,0.15722169430401944,90.997297672157,-26.545295917301164,3.6955057786716003,5313.9562477592335,yes
34,unemployed,married,basic.9y,no,4798,no,yes,telephone,7,jul,374,4,-1,6,other,1.154142854016337,90.91864237128438,-41.877106871591074,1.805696641137794,5427.009322990529,yes
57,self-employed,single,tertiary,yes,1353,no,no,unknown,7,may,373,5,383,2,other,2.3641222067857344,93.3424667406362,-43.15106581078647,1.3979992200479263,4780.167814678273,yes
47,entrepreneur,divorced,high.school,no,2252,no,yes,cellular,17,oct,449,3,-1,6,failure,-0.562457201359214,91.42793829397726,-9.578065658546322,1.4614578877367495,4815.977272165991,no
51,services,married,university.degree,yes,2093,no,no,telephone,7,nov,791,8,383,3,success,0.555373436472629,99.83819969235925,-0.6664590911820767,0.7786361955828006,5869.355629125029,no
23,self-employed,divorced,primary,yes,-859,yes,no,cellular,15,jun,832,4,-1,0,failure,2.949006011836362,99.44967421286236,-26.619439462952215,4.207170635186663,5136.468341396746,no
35,admin.,divorced,university.degree,no,4388,no,yes,telephone,11,jan,695,1,-1,3,other,-1.4832945230964578,96.45848635190605,-13.437019692047528,1.325120721070585,5995.139854527635,yes
25,blue-collar,single,university.degree,yes,3842,yes,no,unknown,25,nov,358,7,383,6,failure,0.2949302104453908,91.0148199586138,-43.88968156949646,2.3932468238877824,5743.2676514486675,yes
25,self-employed,divorced,secondary,yes,1783,no,yes,unknown,25,feb,955,9,383,7,failure,-0.433214157549898,94.93781507212387,-30.717178406131147,1.5576341068944624,5839.403346889947,no
41,unemployed,divorced,university.degree,no,374,no,yes,unknown,6,feb,359,5,-1,9,failure,-0.2726642556599934,95.5301117830243,-28.428744754305285,1.0350554753470749,5253.629388966314,yes
53,management,married,primary,no,3085,yes,yes,unknown,12,jun,76,3,383,5,success,2.713161377178178,98.32469226431866,-35.962078924283766,2.7456707326196756,5448.225782887192,yes
53,unemployed,single,professional.course,no,4677,no,no,telephone,1,dec,299,3,383,7,other,-0.018242209965001255,93.77229554755934,-44.2492606025065,1.331061892360723,5947.946378266021,no
38,admin.,married,professional.course,yes,1268,yes,yes,telephone,22,apr,248,5,383,8,failure,-2.5500409481536144,95.85646262140433,-19.59603349925082,2.588788064751182,4954.984108702325,yes
20,self-employed,married,primary,yes,805,yes,yes,telephone,30,oct,198,7,383,3,success,1.393763448964668,92.20321193808742,-2.9650433119514403,3.9079240834792808,4781.866244644389,yes
59,blue-collar,divorced,tertiary,yes,3344,yes,yes,telephone,21,may,724,3,383,8,other,-0.023872175413106156,97.58256659320121,-36.17481469023922,3.882871856908086,5275.201188659462,yes
56,blue-collar,single,basic.9y,no,4786,no,yes,telephone,8,mar,421,7,383,9,unknown,-2.8610378782065307,90.0795492183041,-0.06467758548402713,4.545224751662133,5070.957088048658,no
56,entrepreneur,single,secondary,no,2983,yes,yes,unknown,7,feb,624,6,383,0,unknown,-0.690817293508041,99.78255854744697,-45.594606079250184,1.9756040078181865,5503.328161508598,no
49,student,married,tertiary,yes,4174,no,no,unknown,26,dec,196,7,-1,9,unknown,1.2748381291468531,93.4398993408502,-10.282823891255397,4.506986897249354,5756.408043092199,yes
32,management,married,high.school,no,1772,yes,no,telephone,23,jan,854,8,383,4,unknown,0.09678817645352122,97.45364612878095,-48.52846132220318,0.6788634958846924,4896.5631787780985,yes
59,self-employed,divorced,secondary,yes,3687,no,no,cellular,5,oct,703,7,383,9,other,0.14835291877654289,97.30160763299244,-36.26766310655427,3.039965316726092,4616.062930028435,no
56,technician,married,secondary,no,2611,yes,no,unknown,16,feb,617,8,-1,7,other,1.2494885735264276,94.0215839062709,-48.04519979271395,0.5617305562261243,4612.178203483553,yes
54,blue-collar,single,basic.9y,yes,-97,no,yes,cellular,18,jul,857,3,-1,0,unknown,-1.7362078624379473,90.44203986905015,-11.697488778042555,2.82489400304204,4584.166910081021,yes
25,admin.,single,tertiary,yes,-18,yes,no,telephone,18,aug,327,9,-1,9,unknown,1.1567334843745662,96.4526759895329,-45.018744042801906,1.1577111677100353,4931.394428418629,yes
23,management,divorced,high.school,no,2654,yes,yes,telephone,26,jan,350,2,-1,7,success,2.149007515769533,98.69406359630024,-40.410034759491374,3.5356052738029904,5279.559696480831,no
59,technician,married,professional.course,yes,2186,no,yes,cellular,19,nov,126,8,383,1,success,2.1978806754035896,97.9292381833519,-39.768971057629265,1.4471908185217242,5838.598992456322,yes
42,technician,single,primary,no,2511,yes,yes,unknown,12,jun,670,3,383,7,other,-2.997677595178409,96.05416659498025,-14.454459804461152,4.647255568617587,5618.758286410375,no
54,unemployed,divorced,secondary,yes,2711,no,yes,cellular,12,sep,163,1,-1,2,success,-1.7397783404067606,99.90826232306726,-21.133216933388727,4.565182377405016,5705.0002493600205,no
43,self-employed,single,tertiary,yes,4641,no,no,unknown,29,oct,549,7,383,7,other,2.5744747528273173,98.15512963028311,-48.43434575980538,3.8614138050794744,5365.958430681854,no
41,self-employed,married,secondary,no,2930,no,no,unknown,1,sep,336,9,-1,5,success,-1.243572657274833,96.96030700865941,-35.025996209772856,1.5343303337552041,5946.379411810494,yes
